Title,Year
Back to the Future,1985
Bacheha-Ye aseman,1999
Babam ve Oglum,2005
Avengers: Infinity War,2018
Avengers: Endgame,2019
Apocalypse Now,1979
Amores perros,2001
American History X,1998
American Beauty,1999
Amadeus,1984
All About Eve,1950
Aliens,1986
Alien,1979
Aladdin,1992
Ah-ga-ssi,2016
A Clockwork Orange,1972
A Beautiful Mind,2002
3 Idiots,2009
2001: A Space Odyssey,1970
1917,2020
12 Years a Slave,2013
12 Angry Men,1957
