Title,Year
Children of Men,2006
Reservoir Dogs,1992
Raise the Red Lantern,1991
The Hustler,1961
The Lives of Others,2006
Punch-Drunk Love,2002
Memories of Murder,2003
Twin Peaks: Fire Walk with Me,1992
Die Hard,1988
Shane,1953
After Life,1998
Inland Empire,2006
Blow Out,1981
The Bitter Tears of Petra von Kant,1972
The Bridge on the River Kwai,1957
Early Summer,1951
Twin Peaks: The Return [TV],2017
Princess Mononoke,1997
To Have and Have Not,1944
Crash,1996
Being There,1979
Our Hospitality,1923
Monty Python's Life of Brian,1979
Masculin féminin,1966
12 Angry Men,1957
Closely Watched Trains,1966
Jurassic Park,1993
Marketa Lazarová,1967
Dead Ringers,1988
Alice in the Cities,1974
East of Eden,1955
Mad Max 2,1981
The French Connection,1971
Short Cuts,1993
The Sound of Music,1965
Doctor Zhivago,1965
Butch Cassidy and the Sundance Kid,1969
A Moment of Innocence,1996
Se7en,1995
The Age of Innocence,1993
Hannah and Her Sisters,1986
Boyhood,2014
A Night at the Opera,1935
And Life Goes On...,1992
Faust,1926
Morvern Callar,2002
"The Devil, Probably",1977
Les Vampires,1915
The Enigma of Kaspar Hauser,1974
The Damned,1969
Alexander Nevsky,1938
The Wind Will Carry Us,1999
Strangers on a Train,1951
La Haine,1995
Nostalgia for the Light,2010
Yeelen,1987
Blue,1993
Tootsie,1982
The Master,2012
Aparajito,1956
The Lady from Shanghai,1948
Picnic at Hanging Rock,1975
Rosetta,1999
Terminator 2: Judgment Day,1991
The Terminator,1984
Russian Ark,2002
Ninotchka,1939
Young Mr. Lincoln,1939
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000
Point Blank,1967
Forrest Gump,1994
Amélie,2001
Bigger Than Life,1956
Man of Aran,1934
I Walked with a Zombie,1943
"Crouching Tiger, Hidden Dragon",2000
Land Without Bread,1933
"Je, tu, il, elle",1974
WALL-E,2008
The Blue Angel,1930
Brokeback Mountain,2005
Laura,1944
Cat People,1942
Halloween,1978
Dead Man,1995
Kagemusha,1980
Fellini Satyricon,1969
The Testament of Dr. Mabuse,1933
Shadow of a Doubt,1943
Deliverance,1972
That Obscure Object of Desire,1977
Zodiac,2007
Rocky,1976
The Lord of the Rings: The Fellowship of the Ring,2001
The Wedding March,1928
When Harry Met Sally...,1989
Yellow Earth,1984
Sambizanga,1972
Full Metal Jacket,1987
Loves of a Blonde,1965
Repulsion,1965
Easy Rider,1969
Hatari!,1962
The Servant,1963
Amour,2012
The Silence,1963
Plácido,1961
The Asphalt Jungle,1950
Rebecca,1940
Barton Fink,1991
D'Est,1993
Fellini's Roma,1972
Grey Gardens,1975
Seven Chances,1925
Bande à part,1964
Shadows,1959
Edvard Munch [TV],1974
Colossal Youth,2006
The Taking of Power by Louis XIV,1966
Symbiopsychotaxiplasm: Take One,1968
The Piano Teacher,2001
Frankenstein,1931
West Indies: The Fugitive Slaves of Liberty,1979
Tale of Tales,1979
Providence,1977
Gentlemen Prefer Blondes,1953
The Devils,1971
"Synecdoche, New York",2008
The Wicker Man,1973
3 Women,1977
The Long Day Closes,1992
Raising Arizona,1987
Down by Law,1986
Don't Look Back,1967
The Ladies Man,1961
The Royal Tenenbaums,2001
The Round-Up,1966
My Friend Ivan Lapshin,1985
I Vitelloni,1953
The Red Circle,1970
Les Amants du Pont-Neuf,1991
Mr. Smith Goes to Washington,1939
Fat City,1972
Titanic,1997
Boudu Saved from Drowning,1932
Walkabout,1971
Harakiri,1962
Scorpio Rising,1963
Pink Flamingos,1972
Hour of the Wolf,1968
The Dark Knight,2008
Ace in the Hole,1951
Hana-bi,1997
A Prophet,2009
Nazarín,1958
Alphaville,1965
Portrait of Jason,1967
Casque d'or,1952
Y tu mamá también,2001
Millennium Mambo,2001
Pat Garrett and Billy the Kid,1973
Malcolm X,1992
The Golden Coach,1952
RoboCop,1987
Ferris Bueller's Day Off,1986
Silent Light,2007
Ratcatcher,1999
Scarface,1932
Hoop Dreams,1994
The Watermelon Woman,1996
The Virgin Spring,1960
Strike,1925
Top Hat,1935
Young Frankenstein,1974
Arrebato,1979
My Own Private Idaho,1991
They Live by Night,1948
Bring Me the Head of Alfredo Garcia,1974
"Dr. Mabuse, the Gambler",1922
The Lady Vanishes,1938
The Marriage of Maria Braun,1979
Akira,1988
The Manchurian Candidate,1962
The Navigator,1924
Wake in Fright,1971
Rushmore,1998
Xala,1975
An American Werewolf in London,1981
Il Posto,1961
A Place in the Sun,1951
Dancer in the Dark,2000
Hyènes,1992
The Purple Rose of Cairo,1985
Chronicle of a Summer,1961
Trainspotting,1996
Bambi,1942
The Killing,1956
The Ghost and Mrs. Muir,1947
The Great Beauty,2013
"Farewell, My Concubine",1993
The Intruder,2004
A Hard Day's Night,1964
Toy Story,1995
Wild at Heart,1990
Carol,2015
The Sorrow and the Pity,1969
Thelma & Louise,1991
Gimme Shelter,1970
Chronicle of Anna Magdalena Bach,1968
Roma,2018
Cure,1997
Salesman,1969
WR: Mysteries of the Organism,1971
"4 Months, 3 Weeks and 2 Days",2007
Before Sunset,2004
Distant,2002
Local Hero,1983
The Holy Mountain,1973
The Social Network,2010
Ben-Hur,1959
Lancelot du Lac,1974
Memento,2000
7 Women,1965
Once Upon a Time... in Hollywood,2019
The Party,1968
Il Grido,1957
The Phantom of Liberty,1974
The Firemen's Ball,1967
Fish Tank,2009
Paper Moon,1973
Sauve qui peut (la vie),1980
Kaagaz Ke Phool,1959
The Sun Shines Bright,1953
The Adventures of Prince Achmed,1926
Big Deal on Madonna Street,1958
Good Morning,1959
Dazed and Confused,1993
Nouvelle vague,1990
Red Beard,1965
Love Me Tonight,1932
Hunger,2008
The Idiots,1998
Moonfleet,1955
A New Leaf,1971
The Hawks and the Sparrows,1966
The Emperor's Naked Army Marches On,1987
The Big Heat,1953
Moulin Rouge!,2001
Stand by Me,1986
Antonio das Mortes,1969
A Streetcar Named Desire,1951
Les Dames du Bois de Boulogne,1945
The Fly,1986
Miller's Crossing,1990
Titicut Follies,1967
A Short Film About Killing,1987
Rebel Without a Cause,1955
"Oh, Sun",1970
The Bad and the Beautiful,1952
The Tiger of Eschnapur,1958
35 Shots of Rum,2008
The Circus,1928
One Way or Another,1977
Design for Living,1933
Lolita,1962
Phantom of the Paradise,1974
Triumph of the Will,1935
JFK,1991
Born in Flames,1983
"New York, New York",1977
The New World,2005
"Diaries, Notes and Sketches",1969
Subarnarekha,1965
"The Cook, the Thief, His Wife & Her Lover",1989
The Wild Child,1970
Clueless,1995
Fort Apache,1948
Diabolique,1955
Ossessione,1943
Mädchen in Uniform,1931
Detour,1945
La Belle Noiseuse,1991
Two English Girls,1971
Flaming Creatures,1963
The Man Who Would Be King,1975
Vive L'Amour,1994
Hellzapoppin',1941
The Age of the Earth,1980
Edward Scissorhands,1990
Great Expectations,1946
Blissfully Yours,2002
Veronika Voss,1982
Mother and Son,1997
Code Unknown,2000
My Life as a Dog,1985
The Trial,1962
Airplane!,1980
Foolish Wives,1922
El Sur,1983
Mamma Roma,1962
Morocco,1930
The 39 Steps,1935
Mikey and Nicky,1976
Scarface,1983
Chikamatsu monogatari,1954
Wings,1966
Trouble Every Day,2001
Requiem for a Dream,2000
Dog Star Man,1964
Un Chant d'amour,1950
Evil Dead II,1987
The Thief of Bagdad,1940
Cairo Station,1958
Let the Right One In,2008
Zelig,1983
Broadcast News,1987
Margaret,2011
All Quiet on the Western Front,1930
"Faster, Pussycat! Kill! Kill!",1965
The Great Escape,1963
Saving Private Ryan,1998
Funny Games,1997
Taipei Story,1985
A Woman of Paris,1923
Dumbo,1941
Inglourious Basterds,2009
The Producers,1968
She Wore a Yellow Ribbon,1949
Smiles of a Summer Night,1955
Forbidden Games,1952
Still Life,2006
Van Gogh,1991
Shock Corridor,1963
Grizzly Man,2005
Women on the Verge of a Nervous Breakdown,1988
After Hours,1985
Abraham's Valley,1993
Passion,1982
My Little Loves,1974
Gummo,1997
Shanghai Express,1932
Invasion of the Body Snatchers,1956
Rose Hobart,1936
Blue is the Warmest Colour,2013
Funeral Parade of Roses,1969
Petite Maman,2021
Amores perros,2000
Point Break,1991
The Son,2002
O Lucky Man!,1973
Deep End,1970
Street of Shame,1956
White Heat,1949
"La Commune (Paris, 1871)",2000
Toute une nuit,1982
Losing Ground,1982
Irréversible,2002
The Red and the White,1967
The Naked Island,1960
Who's Afraid of Virginia Woolf?,1966
Spione,1928
Dodes'ka-den,1970
The Asthenic Syndrome,1989
Starship Troopers,1997
Persepolis,2007
L'Amour fou,1969
Angel,1937
The Adventures of Robin Hood,1938
Mon oncle d'Amérique,1980
The Right Stuff,1983
They Were Expendable,1945
Female Trouble,1974
Claire's Knee,1970
Time of the Gypsies,1988
Hitler: A Film from Germany,1977
The Unknown,1927
The Tin Drum,1979
Too Early/Too Late,1981
Welfare,1975
Breakfast at Tiffany's,1961
The Last Detail,1973
Showgirls,1995
Shame,1968
Mysteries of Lisbon,2010
The Princess Bride,1987
Sicilia!,1999
Atlantics,2019
We All Loved Each Other So Much,1974
Gloria,1980
Cría cuervos,1976
Juliet of the Spirits,1965
Excalibur,1981
Elephant [TV],1989
Monty Python and the Holy Grail,1975
The Misfits,1961
Outskirts,1933
Wendy and Lucy,2008
Avatar,2009
Port of Shadows,1938
Red Sorghum,1987
The Miracle of Morgan's Creek,1944
The African Queen,1951
"Spring, Summer, Autumn, Winter… and Spring",2003
The Woman Next Door,1981
The Bridges of Madison County,1995
They Live,1988
The Night of Counting the Years,1969
L'Enfance nue,1968
The Tarnished Angels,1957
Shaun of the Dead,2004
Exotica,1994
Caro diario,1993
Akira Kurosawa's Dreams,1990
Stroszek,1977
The Seasons,1975
Meek's Cutoff,2010
The Fountainhead,1949
Sideways,2004
Tabu,2012
Deep Red,1975
Tongues Untied,1989
Assault on Precinct 13,1976
The Phantom Carriage,1921
People on Sunday,1930
Zabriskie Point,1970
The Blues Brothers,1980
It's a Gift,1934
Heimat [TV],1984
Seven Beauties,1975
Reds,1981
The River,1997
Sholay,1975
Night of the Demon,1957
The End of Summer,1961
The Criminal Life of Archibaldo de la Cruz,1955
Ceddo,1977
A History of Violence,2005
Le Trou,1960
Duel,1971
La Flor,2018
Simon of the Desert,1965
Anatomy of a Murder,1959
An American in Paris,1951
Kwaidan,1964
Le Boucher,1970
The Straight Story,1999
The Last Temptation of Christ,1988
Carlito's Way,1993
Roman Holiday,1953
Zorns Lemma,1970
The Hurt Locker,2008
Cool Hand Luke,1967
Portrait of Jennie,1948
No Home Movie,2015
Mothlight,1963
Before Sunrise,1995
7th Heaven,1927
Near Dark,1987
The Killer,1989
The Godfather Part III,1990
Z,1969
The Lord of the Rings: The Return of the King,2003
American Graffiti,1973
Blood Simple,1984
Dirty Harry,1971
Il Sorpasso,1962
Enter the Dragon,1973
La Chienne,1931
From the Clouds to the Resistance,1979
Othello,1951
Doomed Love [TV],1978
The Return,2003
A Page of Madness,1926
Ghostbusters,1984
American Beauty,1999
"Khrustalyov, My Car!",1998
Duel in the Sun,1946
The Last Emperor,1987
Spartacus,1960
Diary,1983
Berlin: Symphony of a Great City,1927
Elevator to the Gallows,1958
The Host,2006
The Reckless Moment,1949
Dead Poets Society,1989
Gun Crazy,1950
The Breakfast Club,1985
La Bête humaine,1938
Perfumed Nightmare,1977
Fox and His Friends,1975
Olympia,1938
The Ice Storm,1997
The Pianist,2002
Léon,1994
Saturday Night and Sunday Morning,1960
True Heart Susie,1919
Ed Wood,1994
The Long Farewell,1971
Rope,1948
Lady Windermere's Fan,1925
Sawdust and Tinsel,1953
Ride the High Country,1962
L.A. Confidential,1997
